match_number,winner,team1,team2,toss_winner,toss_decision,venue,city,team1_win_pct,team2_win_pct,team1_h2h_win_pct,team1_prev_score,team1_prev_wkts,team2_prev_score,team2_prev_wkts,team1_avg_recent_bat_sr,team1_avg_recent_bowl_econ,team2_avg_recent_bat_sr,team2_avg_recent_bowl_econ
335982,Kolkata Knight Riders,Royal Challengers Bengaluru,Kolkata Knight Riders,Royal Challengers Bengaluru,field,M Chinnaswamy Stadium,Bangalore,0.0,0.0,0.5,150,5,150,5,130.0,8.5,130.0,8.5
335983,Chennai Super Kings,Punjab Kings,Chennai Super Kings,Chennai Super Kings,bat,"Punjab Cricket Association Stadium, Mohali",Chandigarh,0.0,0.0,0.5,150,5,150,5,130.0,8.5,130.0,8.5
335984,Delhi Capitals,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,bat,Feroz Shah Kotla,Delhi,0.0,0.0,0.5,150,5,150,5,130.0,8.5,130.0,8.5
335985,Royal Challengers Bengaluru,Mumbai Indians,Royal Challengers Bengaluru,Mumbai Indians,bat,Wankhede Stadium,Mumbai,0.0,0.0,0.5,150,5,150,5,130.0,8.5,127.01421800947867,8.18957345971564
335986,Kolkata Knight Riders,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,bat,Eden Gardens,Kolkata,1.0,0.0,0.5,150,5,150,5,127.01421800947867,8.18957345971564,130.0,8.5
335987,Rajasthan Royals,Rajasthan Royals,Punjab Kings,Punjab Kings,bat,Sawai Mansingh Stadium,Jaipur,0.0,0.0,0.5,150,5,150,5,115.63981042654028,7.308056872037915,178.4232365145228,10.975
335988,Delhi Capitals,Deccan Chargers,Delhi Capitals,Deccan Chargers,bat,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,0.0,1.0,0.5,150,5,150,5,111.46131805157593,5.299684542586751,122.61146496815287,7.592592592592593
335989,Chennai Super Kings,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,"MA Chidambaram Stadium, Chepauk",Chennai,1.0,0.0,0.5,150,5,150,5,166.0056657223796,10.401146131805158,121.84300341296928,8.652439024390244
335990,Rajasthan Royals,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,0.0,0.5,0.5,110,10,129,8,121.91435768261965,6.783333333333333,137.72727272727272,9.580865603644646
335991,Punjab Kings,Punjab Kings,Mumbai Indians,Mumbai Indians,field,"Punjab Cricket Association Stadium, Mohali",Chandigarh,0.0,0.0,0.5,207,4,165,7,144.6601941747573,9.821109123434704,163.6761487964989,9.602510460251045
335992,Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,field,M Chinnaswamy Stadium,Bangalore,0.5,0.6666666666666666,0.5,82,10,168,4,120.0836820083682,8.758064516129032,139.80263157894737,9.137989778534925
335993,Chennai Super Kings,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,"MA Chidambaram Stadium, Chepauk",Chennai,1.0,1.0,0.5,240,5,222,3,147.6274165202109,9.481605351170568,124.48275862068965,7.252173913043478
335994,Deccan Chargers,Mumbai Indians,Deccan Chargers,Deccan Chargers,field,Dr DY Patil Sports Academy,Mumbai,0.0,0.0,0.5,202,7,142,8,136.03174603174602,8.768503937007875,138.9280677009873,8.749633967789165
335995,Punjab Kings,Punjab Kings,Delhi Capitals,Delhi Capitals,bat,"Punjab Cricket Association Stadium, Mohali",Chandigarh,0.3333333333333333,1.0,0.5,166,8,132,1,136.03174603174602,8.768503937007875,133.59073359073358,7.678958785249458
335996,Chennai Super Kings,Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,bat,M Chinnaswamy Stadium,Bangalore,0.3333333333333333,1.0,0.5,166,5,208,5,129.7253634894992,8.556818181818182,129.91304347826087,7.849624060150377
335997,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,Eden Gardens,Kolkata,0.6666666666666666,0.0,0.5,112,5,116,9,131.98127925117004,7.873517786561265,126.72131147540983,8.986587183308496
335998,Delhi Capitals,Delhi Capitals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Feroz Shah Kotla,Delhi,0.6666666666666666,0.25,0.5,143,1,135,8,140.5982905982906,7.558988764044943,138.62559241706163,9.057534246575342
335999,Punjab Kings,Deccan Chargers,Punjab Kings,Punjab Kings,field,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,0.25,0.5,0.5,214,5,182,10,124.44444444444444,8.565840938722294,142.64884568651277,7.782178217821783
